TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,INCOME,MSTATUS,SEX,EDUCATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,URBANCITY,NEW_CAR,H_RENTER,JOB_COLOR
0,0,46,0,151012,No,M,Masters,22,Commercial,33320,4,Panel Truck,0,0,Yes,1,Urban,0,0,White
0,0,45,0,61931,Yes,M,Masters,30,Commercial,10910,13,Pickup,25106,2,No,0,Urban,0,0,White
0,0,63,0,74426,No,F,PhD,11,Private,27600,1,SUV,0,0,No,0,Urban,0,1,White
0,0,44,0,74722,Yes,F,Bachelors,9,Private,23640,6,Minivan,0,0,No,0,Urban,1,0,White
1,1,45,1,102393,No,M,Bachelors,25,Private,1500,1,Minivan,0,0,No,2,Urban,0,1,White
0,0,48,0,0,Yes,F,High School,50,Private,8660,3,Sports Car,8363,2,No,3,Urban,0,0,Blue
1,1,37,1,62080,Yes,F,Bachelors,43,Commercial,5200,1,SUV,2718,1,No,1,Urban,0,0,Blue
0,0,35,0,29371,No,F,<High School,49,Private,4860,10,Sports Car,0,0,No,0,Urban,1,1,White
1,0,48,0,31773,Yes,M,High School,14,Commercial,9640,13,Pickup,1212,1,No,4,Urban,1,0,White
0,0,49,0,0,Yes,F,Masters,42,Private,6400,10,SUV,9115,1,No,6,Urban,0,0,White
0,0,44,1,139330,No,F,High School,35,Commercial,22050,10,Sports Car,0,0,No,0,Rural,1,0,Blue
0,0,50,0,163296,No,F,PhD,42,Private,22830,1,Minivan,0,0,No,0,Rural,0,0,White
0,0,30,1,17455,No,F,<High School,50,Private,12380,13,Minivan,0,0,No,0,Rural,0,0,Blue
0,0,54,0,71007,Yes,M,Bachelors,61,Private,14000,6,Minivan,0,0,No,0,Urban,0,0,White
1,0,53,0,38036,Yes,F,High School,32,Commercial,13140,1,SUV,0,0,No,4,Urban,1,0,Blue
0,0,53,0,41199,No,F,Bachelors,21,Private,15360,1,SUV,0,0,No,0,Urban,0,0,White
0,0,29,1,38042,No,M,High School,15,Private,15160,6,Minivan,0,0,No,0,Urban,1,0,White
0,0,58,0,91223,No,M,Masters,23,Private,10620,6,Pickup,0,0,No,0,Urban,0,1,White
0,0,55,0,45787,Yes,F,Masters,5,Private,19380,6,Minivan,0,0,No,0,Urban,0,0,White
0,0,55,0,84964,Yes,M,Bachelors,21,Commercial,5760,1,Pickup,969,2,No,6,Urban,0,0,Blue
0,0,56,0,38240,Yes,F,High School,28,Private,16220,4,SUV,0,0,No,0,Rural,0,0,White
0,0,34,0,51565,No,M,Masters,36,Private,18110,1,Van,759,2,No,3,Urban,0,1,White
1,0,34,1,0,Yes,F,High School,25,Private,11740,9,SUV,1800,2,No,2,Urban,1,0,Blue
0,0,36,0,105384,Yes,M,Masters,24,Private,13800,7,Minivan,31695,3,Yes,4,Urban,0,0,White
1,0,41,0,66265,Yes,M,Masters,59,Private,12230,4,Minivan,0,0,No,1,Urban,0,0,White
1,0,46,0,85468,No,M,Masters,17,Commercial,23350,13,Panel Truck,4678,3,No,6,Urban,0,1,White
0,0,42,0,76226,Yes,M,Bachelors,18,Commercial,23390,13,Panel Truck,0,0,No,0,Urban,0,0,Blue
0,1,38,1,7528,Yes,M,<High School,26,Private,8080,1,Pickup,0,0,No,0,Rural,0,0,White
1,0,33,1,0,No,M,High School,14,Commercial,15090,1,Minivan,1631,1,No,2,Urban,0,1,Blue
1,0,37,0,16843,Yes,F,Bachelors,48,Commercial,12850,7,SUV,0,0,No,3,Urban,0,0,Blue
0,1,42,1,32797,Yes,F,Masters,63,Private,21690,1,Minivan,0,0,No,2,Urban,0,0,White
1,0,47,0,44705,Yes,F,Bachelors,50,Private,12840,1,SUV,1533,2,No,0,Urban,0,0,White
0,0,52,0,68992,No,F,Bachelors,36,Commercial,15120,1,Minivan,0,0,No,3,Rural,0,0,Blue
0,0,43,0,132561,No,M,Masters,8,Commercial,30150,16,Panel Truck,12294,1,No,0,Urban,1,0,White
0,0,66,1,96830,Yes,M,Masters,23,Private,11180,7,SUV,0,0,No,0,Urban,0,0,White
1,0,52,0,64014,Yes,M,<High School,33,Commercial,7900,4,Pickup,8882,3,No,1,Urban,0,0,Blue
0,1,38,1,0,Yes,F,High School,40,Private,7050,4,Sports Car,0,0,No,0,Rural,0,1,Blue
0,0,47,0,91929,Yes,M,Bachelors,48,Private,21320,1,Van,0,0,No,0,Urban,0,0,White
0,0,37,0,123520,Yes,M,Bachelors,14,Commercial,17550,1,Van,0,0,No,0,Urban,0,0,Blue
0,0,47,0,45257,Yes,M,Bachelors,33,Commercial,29210,6,Panel Truck,0,0,No,0,Urban,0,0,White
0,1,61,1,41857,Yes,F,Masters,35,Private,20870,1,Sports Car,0,0,No,0,Urban,0,0,White
1,0,41,1,126468,No,F,Masters,34,Commercial,32690,3,Pickup,0,0,No,2,Urban,0,1,White
0,1,40,1,75516,Yes,F,High School,53,Commercial,13050,5,Sports Car,0,0,Yes,0,Rural,0,0,Blue
0,0,52,0,76954,No,M,Bachelors,44,Private,19540,6,Minivan,0,0,Yes,0,Urban,0,0,White
0,0,58,1,150352,Yes,F,Masters,21,Private,24240,6,Pickup,0,0,No,0,Urban,0,0,White
1,1,38,1,37580,Yes,F,<High School,36,Private,5260,7,SUV,867,2,No,0,Urban,1,0,White
1,0,41,1,23344,Yes,M,High School,10,Private,7930,1,Pickup,0,0,No,1,Urban,1,0,Blue
0,0,37,0,43290,Yes,F,Bachelors,29,Private,23640,1,SUV,0,0,No,0,Urban,0,0,Blue
0,0,48,0,48737,Yes,M,Bachelors,24,Private,11220,9,Pickup,0,0,No,1,Urban,1,0,White
0,0,47,0,64259,Yes,M,High School,26,Private,25100,18,Minivan,9526,4,No,3,Urban,0,0,White
0,0,41,0,12541,No,M,<High School,5,Private,7500,1,Minivan,0,0,No,0,Rural,1,1,White
0,0,47,0,104271,Yes,M,Masters,40,Commercial,36120,4,Panel Truck,0,0,No,0,Urban,0,0,White
0,0,44,1,67278,Yes,F,Masters,49,Private,20210,1,Minivan,0,0,No,0,Rural,0,0,White
0,0,46,0,104990,No,F,Bachelors,40,Private,16080,13,SUV,0,0,No,0,Urban,0,0,White
0,0,49,0,89948,No,F,Bachelors,37,Private,18160,7,SUV,0,0,No,4,Urban,0,1,White
0,0,33,1,111427,Yes,F,Masters,35,Commercial,28180,1,Van,0,0,No,3,Urban,0,0,White
1,1,43,1,76159,No,F,Bachelors,52,Private,19750,4,SUV,0,0,Yes,0,Urban,0,1,White
0,0,62,0,107734,No,F,PhD,54,Private,18470,3,SUV,0,0,No,0,Urban,0,1,White
1,0,42,0,0,No,M,<High School,47,Commercial,5700,11,Pickup,0,0,No,5,Urban,1,1,Blue
0,0,36,1,25282,No,F,High School,38,Private,11160,1,SUV,0,0,No,0,Rural,1,1,White
0,0,47,0,18549,Yes,M,Masters,24,Private,12800,7,Minivan,0,0,No,0,Urban,0,0,White
0,0,50,0,37481,Yes,M,High School,11,Commercial,17300,13,Van,0,0,No,0,Urban,0,0,White
0,0,51,0,50166,No,M,High School,32,Commercial,11620,1,Pickup,50701,3,Yes,0,Urban,1,0,Blue
0,0,46,0,73872,Yes,F,Masters,43,Private,20240,4,Sports Car,0,0,No,0,Rural,0,0,White
0,0,50,0,73343,Yes,F,High School,60,Private,20010,1,Minivan,4179,2,No,4,Urban,0,0,White
1,0,43,1,49849,No,F,Masters,35,Private,13130,1,SUV,3622,3,No,4,Urban,0,1,White
1,1,39,1,12054,Yes,F,<High School,28,Commercial,15760,4,Pickup,1738,2,Yes,4,Urban,1,1,Blue
0,0,43,1,48184,Yes,F,High School,50,Commercial,14530,12,Sports Car,6891,2,No,5,Urban,1,0,Blue
1,0,60,1,78936,Yes,F,Masters,40,Private,20350,6,SUV,0,0,No,0,Urban,0,0,White
0,0,55,0,0,No,M,<High School,33,Private,7000,4,Pickup,0,0,No,0,Rural,1,1,Blue
0,0,40,0,78914,No,F,Bachelors,36,Private,5500,10,SUV,6803,2,No,6,Urban,0,0,White
0,0,39,0,77125,Yes,F,Bachelors,49,Private,9570,7,Sports Car,0,0,No,1,Urban,0,0,White
0,0,38,0,25835,Yes,M,High School,29,Private,8490,6,Pickup,0,0,No,1,Urban,0,0,White
0,0,42,0,47660,Yes,M,Masters,31,Private,11940,7,Pickup,974,2,No,6,Urban,0,0,White
0,0,42,0,123143,No,F,Masters,16,Private,24930,4,Minivan,0,0,No,3,Urban,0,0,White
0,0,49,0,22059,Yes,F,<High School,24,Commercial,21990,11,Pickup,0,0,No,1,Urban,1,0,White
0,1,36,1,50750,No,F,Masters,26,Private,10170,7,SUV,5877,3,No,7,Urban,0,1,White
0,0,34,1,23571,No,M,High School,35,Commercial,12180,7,Pickup,0,0,No,0,Urban,0,1,White
0,0,49,0,0,Yes,F,PhD,29,Private,18110,7,SUV,0,0,No,1,Urban,1,0,Blue
0,0,52,0,35631,Yes,M,High School,39,Private,6040,10,Minivan,0,0,No,0,Urban,1,0,White
0,0,50,0,129234,No,M,PhD,37,Private,21200,4,Van,0,0,No,0,Urban,0,1,White
0,0,53,0,21501,No,F,<High School,16,Private,11650,10,SUV,6175,1,No,2,Urban,0,1,White
0,0,55,0,55409,Yes,M,Bachelors,45,Commercial,27890,4,Panel Truck,0,0,No,0,Rural,0,0,Blue
0,0,40,1,48067,No,F,Bachelors,21,Private,18120,8,Minivan,0,0,No,0,Urban,0,0,White
0,0,45,1,64867,Yes,F,Masters,21,Private,12490,1,SUV,0,0,No,0,Urban,0,0,White
0,0,80,1,97716,Yes,M,Bachelors,14,Private,15920,13,Minivan,0,0,No,2,Urban,0,0,White
0,0,48,0,39613,Yes,M,High School,48,Commercial,8460,10,Pickup,7437,2,No,6,Urban,1,0,Blue
0,0,37,0,23576,No,M,High School,69,Private,14130,1,Minivan,0,0,No,1,Rural,0,1,Blue
0,0,40,0,49780,No,F,<High School,52,Private,10500,6,Sports Car,0,0,No,0,Rural,1,1,White
0,0,45,0,60845,No,F,Bachelors,31,Private,24260,4,Minivan,0,0,No,0,Urban,0,1,White
1,0,42,0,136344,No,F,PhD,45,Private,13160,1,Sports Car,0,0,No,0,Urban,0,1,White
0,0,36,0,70313,Yes,F,Bachelors,55,Private,14960,6,Minivan,7650,3,No,5,Urban,0,0,White
0,0,45,1,23773,No,F,High School,9,Commercial,34510,7,Van,0,0,No,0,Rural,1,1,Blue
0,0,52,0,115713,No,F,Bachelors,28,Private,21660,6,Sports Car,0,0,No,0,Rural,0,0,White
0,0,41,0,55364,No,M,High School,17,Commercial,31390,1,Panel Truck,0,0,No,3,Rural,1,1,White
0,0,36,0,27693,Yes,F,<High School,37,Private,11300,10,Sports Car,19385,1,No,4,Urban,0,0,White
0,0,56,0,0,Yes,F,Bachelors,29,Private,27890,13,SUV,25147,2,No,0,Urban,0,0,Blue
0,1,53,1,0,Yes,F,<High School,34,Private,1500,10,Sports Car,1175,3,No,2,Rural,0,1,Blue
1,0,39,0,32936,No,F,High School,12,Private,1500,6,SUV,0,0,No,0,Urban,0,0,White
0,0,38,0,33151,Yes,F,Bachelors,31,Private,11530,13,SUV,0,0,No,0,Rural,0,0,White
1,1,45,1,0,No,M,High School,36,Private,16510,4,Minivan,17445,3,Yes,0,Urban,1,1,Blue
0,0,46,0,24575,Yes,F,High School,73,Private,8560,10,Sports Car,0,0,No,0,Rural,0,0,Blue
0,0,43,1,32546,Yes,M,<High School,49,Private,5800,10,Minivan,0,0,No,1,Urban,0,0,White
0,1,54,1,0,No,F,Bachelors,21,Private,18820,6,SUV,5537,1,No,6,Urban,0,1,Blue
0,0,55,0,163158,Yes,M,Masters,44,Commercial,23320,10,Panel Truck,0,0,No,3,Urban,0,0,White
0,0,61,0,58212,Yes,F,<High School,37,Private,13420,1,Sports Car,3573,3,No,3,Rural,1,0,Blue
1,0,53,0,84345,Yes,F,Bachelors,36,Private,9930,4,SUV,0,0,No,3,Urban,0,0,White
0,0,52,0,24590,Yes,M,High School,59,Commercial,10350,14,Minivan,1507,1,No,0,Urban,0,0,Blue
0,0,54,0,107808,Yes,F,Bachelors,45,Commercial,27020,7,Pickup,1780,3,No,0,Urban,0,0,White
0,0,51,0,76443,Yes,F,Masters,7,Private,25450,6,SUV,5958,2,No,5,Urban,0,0,White
0,0,39,1,59685,Yes,M,High School,42,Commercial,7470,7,Pickup,0,0,No,0,Rural,1,0,Blue
0,0,38,0,90647,Yes,F,Masters,38,Private,13740,4,Minivan,8450,1,No,0,Rural,0,0,White
1,0,42,0,43174,No,M,<High School,48,Commercial,10020,13,Pickup,0,0,No,0,Urban,1,0,Blue
1,0,31,1,30653,No,F,High School,41,Private,12930,13,Sports Car,35666,2,Yes,0,Urban,0,1,White
0,0,41,1,0,No,F,Masters,18,Private,32090,6,Minivan,0,0,No,0,Rural,0,0,Blue
1,1,36,1,0,Yes,F,High School,54,Private,1500,4,SUV,0,0,No,5,Urban,0,1,Blue
0,0,49,0,59148,Yes,F,High School,18,Private,12310,1,SUV,8948,1,No,0,Urban,1,0,White
0,0,47,0,81899,No,M,High School,25,Private,14390,1,Minivan,0,0,No,0,Urban,1,0,White
0,0,45,1,1158,Yes,F,High School,10,Commercial,6120,10,SUV,0,0,No,0,Rural,1,1,Blue
0,0,53,0,114088,Yes,F,High School,25,Private,22920,10,Pickup,0,0,No,0,Urban,0,0,White
0,0,51,0,80621,Yes,F,High School,27,Private,25700,1,Van,0,0,No,0,Urban,1,0,White
0,0,51,1,94328,Yes,F,Masters,44,Private,6900,3,Sports Car,0,0,No,0,Urban,1,0,White
1,0,36,1,49703,No,M,Masters,37,Commercial,42550,1,Panel Truck,35879,1,Yes,0,Urban,0,0,White
0,0,43,0,84963,No,F,Bachelors,55,Private,8160,1,SUV,6836,3,No,0,Urban,0,0,White
0,0,43,0,55799,Yes,F,High School,32,Commercial,13160,13,Minivan,8569,3,Yes,3,Urban,1,0,Blue
1,0,53,0,25289,Yes,F,<High School,31,Private,13850,1,SUV,0,0,No,0,Urban,0,0,Blue
0,0,40,0,95405,No,M,Masters,34,Commercial,24220,4,Panel Truck,0,0,No,3,Urban,0,1,White
1,0,31,1,26112,Yes,F,<High School,58,Private,14030,3,SUV,0,0,No,0,Rural,0,0,White
1,0,58,0,131560,No,F,PhD,40,Private,14870,1,SUV,0,0,No,2,Urban,0,1,White
0,0,50,0,90566,No,F,Masters,40,Private,23260,17,Van,0,0,No,0,Urban,0,0,White
0,0,45,1,62447,No,M,High School,39,Commercial,12240,7,Minivan,0,0,No,0,Urban,1,0,Blue
0,0,46,0,108701,Yes,F,Masters,39,Private,12070,3,SUV,0,0,No,0,Urban,0,0,White
0,0,47,0,94774,No,M,High School,43,Commercial,21070,1,Van,3460,1,No,1,Urban,0,0,White
0,1,43,1,72357,Yes,M,Bachelors,40,Commercial,23190,1,Minivan,0,0,No,0,Urban,0,0,Blue
0,0,48,0,140112,No,F,PhD,47,Commercial,28380,10,Pickup,0,0,No,2,Urban,0,0,White
0,0,39,0,19016,No,M,High School,22,Commercial,10950,13,Pickup,0,0,No,0,Rural,0,0,White
0,0,49,0,0,No,F,High School,55,Private,19810,7,Minivan,0,0,No,1,Rural,1,1,Blue
0,0,45,0,19909,Yes,F,<High School,14,Private,7990,1,Sports Car,0,0,No,0,Urban,1,0,White
0,0,36,0,4885,Yes,F,Masters,35,Private,7080,6,SUV,5486,1,No,5,Urban,0,0,White
1,1,59,1,119382,No,F,Masters,26,Commercial,24130,13,Pickup,0,0,No,0,Urban,0,1,White
0,0,60,0,89511,Yes,M,Masters,5,Commercial,11380,4,Pickup,4470,3,No,0,Urban,0,0,White
0,0,49,0,107375,Yes,F,Bachelors,12,Private,19840,3,SUV,0,0,No,0,Urban,0,0,White
0,0,45,1,36947,Yes,F,High School,32,Private,6200,6,SUV,0,0,No,0,Urban,1,0,White
0,0,34,1,27581,No,M,<High School,38,Commercial,12250,4,Minivan,0,0,No,6,Rural,0,1,Blue
1,0,57,0,8212,Yes,M,<High School,5,Private,7200,4,Pickup,0,0,No,0,Urban,0,1,Blue
0,0,33,1,86187,No,M,Bachelors,81,Private,13420,17,Minivan,0,0,No,1,Rural,0,0,White
0,0,52,0,42255,No,M,High School,61,Commercial,22280,3,Minivan,0,0,No,1,Urban,0,1,Blue
0,0,53,0,37646,Yes,F,High School,19,Private,16020,4,SUV,7462,2,No,0,Urban,0,1,White
0,0,57,0,84977,Yes,F,Bachelors,41,Commercial,32530,1,Minivan,0,0,No,2,Urban,0,0,Blue
0,0,37,0,116043,No,F,Bachelors,40,Private,16800,17,SUV,0,0,No,3,Urban,0,1,Blue
0,0,45,1,89479,Yes,M,Bachelors,30,Private,14950,10,Minivan,0,0,No,0,Urban,0,0,White
0,0,38,0,92917,No,M,Bachelors,57,Private,15120,1,Minivan,722,3,No,0,Rural,0,1,White
0,0,36,1,29741,No,F,<High School,32,Private,8070,6,SUV,2797,2,No,0,Urban,0,1,White
0,0,51,0,3673,Yes,M,High School,5,Commercial,11180,10,Pickup,0,0,No,0,Rural,1,0,Blue
1,1,39,1,61370,No,M,Masters,6,Commercial,21770,6,Van,35577,3,Yes,0,Urban,0,1,White
0,0,51,0,32159,No,F,<High School,46,Private,2600,6,SUV,0,0,Yes,2,Rural,0,0,Blue
0,1,40,1,20126,No,F,<High School,5,Private,8260,6,SUV,0,0,No,0,Urban,1,0,Blue
1,0,54,0,44782,No,F,<High School,83,Private,30260,3,SUV,0,0,No,0,Urban,0,0,White
0,0,34,1,59828,No,F,Bachelors,56,Commercial,10880,10,SUV,0,0,No,0,Urban,0,1,Blue
0,1,41,1,74022,Yes,F,Masters,51,Private,13000,10,Sports Car,4418,1,No,0,Urban,0,0,White
0,0,36,0,80256,Yes,M,Bachelors,9,Commercial,14860,4,Minivan,2592,4,No,1,Urban,0,0,Blue
0,0,55,0,6094,Yes,M,High School,28,Commercial,22770,4,Panel Truck,2631,1,No,1,Urban,1,1,Blue
0,1,45,1,0,Yes,F,Masters,27,Private,14300,1,Minivan,9062,1,No,1,Urban,0,0,Blue
1,1,45,1,30085,Yes,M,<High School,44,Commercial,7200,4,Pickup,0,0,Yes,3,Urban,0,0,White
0,0,50,0,80241,No,F,Masters,17,Private,14520,4,Pickup,7628,2,No,7,Urban,0,1,White
0,0,55,0,55673,Yes,F,Bachelors,43,Commercial,27400,14,Van,0,0,No,0,Urban,0,0,Blue
1,0,44,0,32317,No,M,High School,68,Private,22450,7,Minivan,3738,1,No,8,Urban,1,1,White
0,0,50,0,58762,No,M,Masters,13,Private,13320,6,Minivan,5253,3,No,0,Urban,0,1,White
0,0,60,0,76899,Yes,M,PhD,34,Private,7900,4,Sports Car,45574,3,Yes,0,Urban,0,0,White
0,0,40,0,48640,No,M,High School,19,Commercial,10360,1,Pickup,0,0,No,0,Rural,0,1,Blue
0,0,57,0,78592,Yes,F,High School,42,Commercial,15760,7,Sports Car,9462,3,No,0,Urban,0,0,Blue
1,0,47,0,21282,Yes,M,High School,40,Commercial,18150,1,Van,6544,1,No,3,Urban,0,1,Blue
1,0,64,0,61521,Yes,F,Masters,41,Private,7650,1,Sports Car,0,0,No,8,Urban,0,0,White
1,0,34,1,105554,No,M,Masters,75,Private,5300,4,Minivan,7504,2,No,2,Urban,0,0,White
0,0,52,0,147666,Yes,F,Masters,43,Private,6700,11,SUV,0,0,No,0,Rural,0,0,White
1,1,42,1,69290,No,M,Masters,30,Commercial,23900,4,Panel Truck,1052,2,No,1,Urban,0,1,White
1,0,45,1,2954,No,F,<High School,21,Private,3100,9,Sports Car,10099,2,No,4,Urban,0,1,White
0,0,54,0,105762,No,M,Masters,5,Private,17480,6,Minivan,0,0,Yes,2,Urban,0,1,White
0,0,42,1,79185,Yes,F,Bachelors,28,Private,13020,3,SUV,6689,1,No,5,Urban,1,0,White
0,0,56,0,111702,No,F,PhD,18,Private,18270,6,SUV,0,0,No,0,Urban,0,1,White
0,0,59,0,5005,No,F,High School,30,Private,7500,1,SUV,0,0,Yes,0,Urban,0,0,Blue
0,0,35,0,13760,No,F,High School,27,Commercial,7700,6,SUV,10177,2,No,3,Urban,1,1,Blue
1,0,54,0,88668,Yes,F,PhD,63,Private,20090,4,Minivan,10520,2,No,1,Urban,0,0,White
1,0,50,0,2657,Yes,F,Masters,63,Private,10480,13,Sports Car,20452,2,Yes,2,Urban,0,0,Blue
0,0,29,1,51122,Yes,F,Bachelors,40,Commercial,10470,1,SUV,19030,3,Yes,9,Urban,0,0,Blue
